annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_par_m2,age_estime,categorie_prix,cat_surface,annee,mois,trimestre
ANO000668,2023-01-12,Appartement 65m² Hay Mohammadi,Agadir,Hay Mohammadi,Appartement,Vente,532657.76,65.19,3,2,3,2007,8170.85,19,Moyen,Petit,2023,1,1
ANO000570,2023-01-12,Appartement moderne Oujda,Oujda,Hay Qods,Appartement,Location,3111.94,81.68,3,2,2,2002,38.1,24,Moyen,Moyen,2023,1,1
ANO001221,2023-01-14,Beau Villa Rabat,Rabat,Agdal,Villa,Vente,2019980.37,191.75,4,2,0,2005,10534.45,21,Haut standing,Grand,2023,1,1
ANO000974,2023-01-15,Bureau moderne Fès,Fès,Zouagha,Bureau,Vente,1718348.71,91.25,0,0,3,2011,18831.22,15,Haut standing,Moyen,2023,1,1
ANO001440,2023-01-15,Beau Villa Meknès,Meknès,Ville Nouvelle,Villa,Vente,2763954.5,262.36,4,2,0,2007,10534.97,19,Haut standing,Grand,2023,1,1
ANO001004,2023-01-17,Beau Bureau Marrakech,Marrakech,Medina,Bureau,Vente,1011550.14,116.25,0,0,7,2009,8701.51,17,Moyen,Moyen,2023,1,1
ANO000861,2023-01-18,Bureau moderne Oujda,Oujda,Hay Qods,Bureau,Vente,1348842.19,135.57,0,0,6,2009,9949.41,17,Moyen,Moyen,2023,1,1
ANO000942,2023-01-18,Villa à vente - Meknès,Meknès,Ville Nouvelle,Villa,Vente,3892215.23,245.81,5,3,0,2023,15834.24,3,Haut standing,Grand,2023,1,1
ANO000752,2023-01-21,Terrain 149m² Tanger,Tanger,Centre Ville,Terrain,Vente,796373.32,149.71,0,0,0,2012,5319.44,14,Moyen,Moyen,2023,1,1
ANO000677,2023-01-23,Appartement moderne Agadir,Agadir,Talborjt,Appartement,Vente,2083863.77,72.71,2,1,6,2016,28659.93,10,Haut standing,Petit,2023,1,1
ANO000324,2023-01-23,Beau Appartement Fès,Fès,Medina,Appartement,Vente,378306.99,88.2,2,2,0,1989,4289.19,37,Économique,Moyen,2023,1,1
ANO000361,2023-01-24,Appartement à location - Casablanca,Casablanca,Anfa,Appartement,Location,7442.16,76.27,1,1,0,1995,97.58,31,Moyen,Petit,2023,1,1
ANO000762,2023-01-24,Beau Appartement Rabat,Rabat,Hay Riad,Appartement,Vente,432260.14,73.39,2,1,4,2006,5889.91,20,Économique,Petit,2023,1,1
ANO000678,2023-01-24,Villa à vente - Tétouan,Tétouan,M'diq,Villa,Vente,1713226.9,288.11,4,2,0,2014,5946.43,12,Haut standing,Grand,2023,1,1
ANO000775,2023-01-24,Villa 383m² Hay Essalam,Kénitra,Hay Essalam,Villa,Vente,2428886.43,383.96,3,1,0,2009,6325.88,17,Haut standing,Grand,2023,1,1
ANO001236,2023-01-25,Beau Appartement Agadir,Agadir,Talborjt,Appartement,Location,2347.65,71.89,2,1,2,2020,32.66,6,Économique,Petit,2023,1,1
ANO000643,2023-01-26,Villa 227m² Oujda,Oujda,Centre,Villa,Vente,934856.24,227.12,5,2,0,2012,4116.13,14,Moyen,Grand,2023,1,1
ANO000478,2023-01-27,Terrain 403m² Marrakech,Marrakech,Medina,Terrain,Vente,1044721.16,403.26,0,0,0,2005,2590.69,21,Moyen,Grand,2023,1,1
ANO000621,2023-01-27,Beau Villa Tanger,Tanger,Malabata,Villa,Vente,2132845.63,314.86,4,3,0,2016,6773.95,10,Haut standing,Grand,2023,1,1
ANO001148,2023-01-27,Beau Appartement Tanger,Tanger,Iberia,Appartement,Vente,1754350.97,88.52,4,3,4,2022,19818.7,4,Haut standing,Moyen,2023,1,1
ANO000460,2023-01-27,Appartement moderne Meknès,Meknès,Ville Nouvelle,Appartement,Vente,674788.56,69.86,1,1,0,2024,9659.15,2,Moyen,Petit,2023,1,1
ANO001464,2023-01-28,Beau Terrain Rabat,Rabat,Hay Riad,Terrain,Vente,975589.83,361.79,0,0,0,2012,2696.56,14,Moyen,Grand,2023,1,1
ANO000749,2023-01-28,Beau Appartement Rabat,Rabat,Ocean,Appartement,Vente,744065.51,87.61,3,1,0,1986,8492.93,40,Moyen,Moyen,2023,1,1
ANO001488,2023-01-29,Terrain 401m² Hay Qods,Oujda,Hay Qods,Terrain,Vente,1354808.64,401.17,0,0,0,2019,3377.14,7,Moyen,Grand,2023,1,1
ANO000045,2023-01-30,Appartement moderne Casablanca,Casablanca,Maarif,Appartement,Vente,422523.55,96.84,3,1,3,1986,4363.11,40,Économique,Moyen,2023,1,1
ANO000179,2023-01-30,Beau Appartement Marrakech,Marrakech,Targa,Appartement,Vente,471779.67,86.18,3,1,8,2003,5474.35,23,Économique,Moyen,2023,1,1
ANO000031,2023-01-30,Appartement moderne Oujda,Oujda,Centre,Appartement,Vente,561649.31,109.22,3,1,0,2010,5142.37,16,Moyen,Moyen,2023,1,1
ANO001235,2023-01-31,Beau Appartement Oujda,Oujda,Hay Qods,Appartement,Location,6533.89,64.08,3,1,3,2010,101.96,16,Moyen,Petit,2023,1,1
ANO000766,2023-01-31,Villa à location - Tétouan,Tétouan,Centre,Villa,Location,320000.0,283.47,5,3,0,2021,1128.87,5,Luxe,Grand,2023,1,1
ANO000272,2023-02-01,Beau Villa Tanger,Tanger,Centre Ville,Villa,Location,9193.11,332.55,3,2,0,2010,27.64,16,Haut standing,Grand,2023,2,1
ANO000394,2023-02-02,Villa moderne Marrakech,Marrakech,Medina,Villa,Location,17378.46,264.39,4,2,0,2009,65.73,17,Haut standing,Grand,2023,2,1
ANO001034,2023-02-03,Terrain moderne Fès,Fès,Ville Nouvelle,Terrain,Location,180.0,215.17,0,0,0,2012,0.84,14,Économique,Grand,2023,2,1
ANO000871,2023-02-03,Beau Appartement Oujda,Oujda,Hay Qods,Appartement,Vente,2260608.8,56.56,4,3,3,2008,39968.33,18,Haut standing,Petit,2023,2,1
ANO001356,2023-02-03,Appartement à location - Meknès,Meknès,Ville Nouvelle,Appartement,Location,1896.22,89.73,4,2,2,2012,21.13,14,Économique,Moyen,2023,2,1
ANO000109,2023-02-04,Appartement moderne Rabat,Rabat,Hay Riad,Appartement,Vente,429277.91,54.65,2,1,1,2017,7855.04,9,Économique,Petit,2023,2,1
ANO000532,2023-02-04,Beau Appartement Meknès,Meknès,Hamria,Appartement,Location,9446.3,25.93,2,2,0,2001,364.3,25,Haut standing,Petit,2023,2,1
ANO000429,2023-02-05,Appartement moderne Rabat,Rabat,Ocean,Appartement,Location,1822.73,51.72,2,2,3,1972,35.24,54,Économique,Petit,2023,2,1
ANO000649,2023-02-06,Beau Appartement Rabat,Rabat,Agdal,Appartement,Location,8994.52,75.76,4,2,7,2005,118.72,21,Haut standing,Petit,2023,2,1
ANO000747,2023-02-07,Beau Appartement Agadir,Agadir,Talborjt,Appartement,Vente,501155.64,102.16,2,1,0,2010,4905.6,16,Moyen,Moyen,2023,2,1
ANO001276,2023-02-08,Terrain 158m² Hay Essalam,Kénitra,Hay Essalam,Terrain,Vente,1151515.37,158.86,0,0,0,2013,7248.62,13,Moyen,Grand,2023,2,1
ANO001443,2023-02-08,Appartement à location - Meknès,Meknès,Ville Nouvelle,Appartement,Location,7047.14,107.51,1,1,1,2023,65.55,3,Moyen,Moyen,2023,2,1
ANO000177,2023-02-10,Beau Appartement Agadir,Agadir,Centre,Appartement,Vente,2103889.0,12.0,3,2,6,2015,175324.08,11,Haut standing,Petit,2023,2,1
ANO000066,2023-02-10,Beau Villa Tanger,Tanger,Centre Ville,Villa,Vente,2392658.69,179.29,5,2,0,2011,13345.19,15,Haut standing,Grand,2023,2,1
ANO001485,2023-02-10,Villa moderne Rabat,Rabat,Hay Riad,Villa,Vente,2774836.01,273.73,5,3,0,2019,10137.13,7,Haut standing,Grand,2023,2,1
ANO000895,2023-02-11,Beau Bureau Meknès,Meknès,Ville Nouvelle,Bureau,Vente,1068220.89,149.27,0,0,4,2012,7156.3,14,Moyen,Moyen,2023,2,1
ANO001208,2023-02-12,Beau Duplex Fès,Fès,Zouagha,Duplex,Vente,2010887.94,51.09,3,2,6,2000,39359.72,26,Haut standing,Petit,2023,2,1
ANO000500,2023-02-12,Beau Terrain Tétouan,Tétouan,M'diq,Terrain,Vente,1162509.87,422.89,0,0,0,2014,2748.97,12,Moyen,Grand,2023,2,1
ANO000329,2023-02-13,Beau Bureau Oujda,Oujda,Centre,Bureau,Vente,1198558.98,73.67,0,0,6,2022,16269.3,4,Moyen,Petit,2023,2,1
ANO000112,2023-02-13,Appartement 109m² Tanger,Tanger,Centre Ville,Appartement,Location,1874.96,109.38,3,2,0,2008,17.14,18,Économique,Moyen,2023,2,1
ANO001076,2023-02-13,Appartement moderne Fès,Fès,Medina,Appartement,Location,1725.82,63.83,3,1,8,2018,27.04,8,Économique,Petit,2023,2,1
ANO000527,2023-02-15,Appartement moderne Tétouan,Tétouan,Centre,Appartement,Vente,461849.01,64.74,2,2,0,2011,7133.91,15,Économique,Petit,2023,2,1
ANO001282,2023-02-16,Beau Bureau Marrakech,Marrakech,Medina,Bureau,Location,2605.21,184.35,0,0,2,2016,14.13,10,Économique,Grand,2023,2,1
ANO000542,2023-02-16,Villa à vente - Agadir,Agadir,Hay Mohammadi,Villa,Vente,1865927.96,399.86,5,2,0,2018,4666.45,8,Haut standing,Grand,2023,2,1
ANO001256,2023-02-17,Villa moderne Marrakech,Marrakech,Hivernage,Villa,Location,24105.68,171.97,4,2,0,2020,140.17,6,Luxe,Grand,2023,2,1
ANO000925,2023-02-18,Appartement 46m² M'diq,Tétouan,M'diq,Appartement,Location,7717.16,46.28,3,2,0,2010,166.75,16,Moyen,Petit,2023,2,1
ANO000073,2023-02-18,Beau Appartement Tanger,Tanger,Centre Ville,Appartement,Location,1829.04,79.08,2,2,2,2006,23.13,20,Économique,Petit,2023,2,1
ANO000782,2023-02-18,Appartement 31m² Marrakech,Marrakech,Medina,Appartement,Location,1947.5,31.17,2,1,1,2018,62.48,8,Économique,Petit,2023,2,1
ANO001302,2023-02-18,Beau Appartement Tétouan,Tétouan,M'diq,Appartement,Vente,436893.04,125.37,2,2,1,2010,3484.83,16,Économique,Moyen,2023,2,1
ANO000311,2023-02-19,Beau Villa Agadir,Agadir,Talborjt,Villa,Location,7689.6,400.49,4,3,0,1998,19.2,28,Moyen,Grand,2023,2,1
ANO000868,2023-02-20,Bureau 94m² Hassan,Rabat,Hassan,Bureau,Location,5791.54,94.59,0,0,3,1982,61.23,44,Moyen,Moyen,2023,2,1
ANO000757,2023-02-20,Appartement 82m² Californie,Casablanca,Californie,Appartement,Vente,489498.42,82.96,1,1,1,2005,5900.41,21,Économique,Moyen,2023,2,1
ANO001233,2023-02-20,Beau Terrain Meknès,Meknès,Ville Nouvelle,Terrain,Vente,628476.19,339.91,0,0,0,2017,1848.95,9,Moyen,Grand,2023,2,1
ANO001249,2023-02-22,Beau Appartement Casablanca,Casablanca,Bourgogne,Appartement,Location,1722.33,80.46,2,1,4,2003,21.41,23,Économique,Moyen,2023,2,1
ANO000040,2023-02-22,Bureau 165m² Centre Ville,Tanger,Centre Ville,Bureau,Vente,732528.78,165.71,0,0,3,2016,4420.55,10,Moyen,Grand,2023,2,1
ANO000967,2023-02-23,Appartement 92m² Centre,Kénitra,Centre,Appartement,Vente,515506.3,92.18,2,1,1,2009,5592.39,17,Moyen,Moyen,2023,2,1
ANO000518,2023-02-23,Appartement moderne Meknès,Meknès,Ville Nouvelle,Appartement,Location,2102.24,63.05,2,2,0,2003,33.34,23,Économique,Petit,2023,2,1
ANO000506,2023-02-24,Appartement 122m² Tanger,Tanger,Centre Ville,Appartement,Location,2141.56,122.84,3,2,3,2015,17.43,11,Économique,Moyen,2023,2,1
ANO000785,2023-02-24,Terrain moderne Tanger,Tanger,Iberia,Terrain,Vente,1005070.8,136.09,0,0,0,2019,7385.34,7,Moyen,Moyen,2023,2,1
ANO000243,2023-02-25,Bureau 133m² Centre Ville,Tanger,Centre Ville,Bureau,Location,120.0,133.9,0,0,5,2005,0.9,21,Économique,Moyen,2023,2,1
ANO001376,2023-02-26,Beau Appartement Tanger,Tanger,Malabata,Appartement,Vente,418537.67,62.98,1,1,1,2024,6645.56,2,Économique,Petit,2023,2,1
ANO001265,2023-02-27,Villa à location - Tanger,Tanger,Centre Ville,Villa,Location,9314.4,230.75,4,2,0,2010,40.37,16,Haut standing,Grand,2023,2,1
ANO001043,2023-02-27,Appartement 117m² Souissi,Rabat,Souissi,Appartement,Vente,320877.27,117.96,4,3,3,1999,2720.22,27,Économique,Moyen,2023,2,1
ANO001095,2023-02-28,Beau Terrain Kenitra,Kénitra,Centre,Terrain,Location,617.14,405.17,0,0,0,1997,1.52,29,Économique,Grand,2023,2,1
ANO000105,2023-03-01,Villa 315m² Hay Essalam,Kénitra,Hay Essalam,Villa,Vente,2612708.17,315.08,4,3,0,2020,8292.21,6,Haut standing,Grand,2023,3,1
ANO000644,2023-03-01,Bureau moderne Meknès,Meknès,Hamria,Bureau,Location,7933.36,70.82,0,0,7,2013,112.02,13,Moyen,Petit,2023,3,1
ANO001176,2023-03-02,Appartement 80m² Talborjt,Agadir,Talborjt,Appartement,Vente,409134.4,80.05,3,1,0,2024,5110.99,2,Économique,Moyen,2023,3,1
ANO001041,2023-03-02,Appartement 69m² Rabat,Rabat,Hay Riad,Appartement,Vente,491972.62,69.7,2,2,4,2007,7058.43,19,Économique,Petit,2023,3,1
ANO000882,2023-03-02,Appartement 57m² Rabat,Rabat,Hay Riad,Appartement,Vente,1739164.44,57.76,2,1,4,1988,30110.19,38,Haut standing,Petit,2023,3,1
ANO000012,2023-03-02,Beau Appartement Marrakech,Marrakech,Targa,Appartement,Location,1692.3,105.56,2,3,2,2000,16.03,26,Économique,Moyen,2023,3,1
ANO000522,2023-03-03,Appartement à location - Agadir,Agadir,Talborjt,Appartement,Location,2624.34,103.42,2,1,3,2007,25.38,19,Économique,Moyen,2023,3,1
ANO000742,2023-03-03,Beau Appartement Oujda,Oujda,Centre,Appartement,Location,2113.01,68.77,1,1,3,2020,30.73,6,Économique,Petit,2023,3,1
ANO001011,2023-03-03,Beau Appartement Tanger,Tanger,Malabata,Appartement,Location,4018.68,68.54,4,2,1,2013,58.63,13,Moyen,Petit,2023,3,1
ANO001490,2023-03-03,Appartement 87m² Ville Nouvelle,Meknès,Ville Nouvelle,Appartement,Vente,600121.69,87.69,2,1,5,2013,6843.67,13,Moyen,Moyen,2023,3,1
ANO000849,2023-03-03,Beau Appartement Casablanca,Casablanca,Maarif,Appartement,Vente,2970686.59,95.82,2,1,0,1979,31002.78,47,Haut standing,Moyen,2023,3,1
ANO001037,2023-03-04,Villa 100m² Marrakech,Marrakech,Medina,Villa,Location,9701.21,100.41,5,3,0,2000,96.62,26,Haut standing,Moyen,2023,3,1
ANO000807,2023-03-06,Appartement 51m² Centre,Oujda,Centre,Appartement,Location,2387.53,51.84,2,1,1,2010,46.06,16,Économique,Petit,2023,3,1
ANO000210,2023-03-07,Villa 254m² Talborjt,Agadir,Talborjt,Villa,Location,23245.28,254.46,4,2,0,2011,91.35,15,Luxe,Grand,2023,3,1
ANO000470,2023-03-08,Appartement à location - Fès,Fès,Medina,Appartement,Location,2920.64,76.93,4,2,1,1996,37.96,30,Économique,Petit,2023,3,1
ANO001108,2023-03-08,Terrain moderne Meknès,Meknès,Hamria,Terrain,Vente,528779.51,114.12,0,0,0,2012,4633.54,14,Moyen,Moyen,2023,3,1
ANO001361,2023-03-11,Appartement 67m² Anfa,Casablanca,Anfa,Appartement,Vente,626039.32,67.55,2,1,1,2024,9267.79,2,Moyen,Petit,2023,3,1
ANO000827,2023-03-11,Beau Villa Tétouan,Tétouan,M'diq,Villa,Vente,1530697.1,305.43,3,1,0,2005,5011.61,21,Haut standing,Grand,2023,3,1
ANO001141,2023-03-12,Beau Appartement Kenitra,Kénitra,Centre,Appartement,Vente,477117.47,83.07,4,3,5,2009,5743.56,17,Économique,Moyen,2023,3,1
ANO001484,2023-03-12,Villa à location - Tanger,Tanger,Centre Ville,Villa,Location,11793.42,210.4,4,2,0,2006,56.05,20,Haut standing,Grand,2023,3,1
ANO001066,2023-03-13,Bureau à vente - Meknès,Meknès,Ville Nouvelle,Bureau,Vente,447995.99,148.51,0,0,2,1994,3016.6,32,Économique,Moyen,2023,3,1
ANO000789,2023-03-16,Beau Appartement Kenitra,Kénitra,Centre,Appartement,Vente,474488.39,123.34,2,2,1,2005,3847.0,21,Économique,Moyen,2023,3,1
ANO001179,2023-03-16,Villa à location - Casablanca,Casablanca,Ain Diab,Villa,Location,36575.06,377.56,5,2,0,2010,96.87,16,Luxe,Grand,2023,3,1
ANO001380,2023-03-16,Appartement 107m² Ville Nouvelle,Fès,Ville Nouvelle,Appartement,Vente,590554.9,107.28,2,1,1,2014,5504.8,12,Moyen,Moyen,2023,3,1
ANO001168,2023-03-16,Appartement à vente - Tétouan,Tétouan,Centre,Appartement,Vente,1749074.62,86.13,3,2,6,2010,20307.38,16,Haut standing,Moyen,2023,3,1
ANO001028,2023-03-16,Villa 92m² Centre,Agadir,Centre,Villa,Vente,2270179.93,92.63,4,2,0,2001,24508.04,25,Haut standing,Moyen,2023,3,1
ANO000482,2023-03-17,Appartement à vente - Oujda,Oujda,Centre,Appartement,Vente,1481267.22,94.99,2,1,2,2004,15593.93,22,Moyen,Moyen,2023,3,1
ANO000917,2023-03-17,Bureau moderne Tanger,Tanger,Centre Ville,Bureau,Vente,1354529.33,111.82,0,0,0,2024,12113.48,2,Moyen,Moyen,2023,3,1
ANO000938,2023-03-17,Appartement 128m² Hay Qods,Oujda,Hay Qods,Appartement,Vente,473733.06,128.47,1,1,4,2007,3687.5,19,Économique,Moyen,2023,3,1
ANO000492,2023-03-18,Beau Appartement Oujda,Oujda,Centre,Appartement,Location,2207.05,65.38,2,2,4,2015,33.76,11,Économique,Petit,2023,3,1
ANO001033,2023-03-18,Beau Bureau Oujda,Oujda,Hay Qods,Bureau,Vente,1616689.87,143.34,0,0,0,2008,11278.71,18,Haut standing,Moyen,2023,3,1
ANO000819,2023-03-18,Appartement à vente - Marrakech,Marrakech,Gueliz,Appartement,Vente,631846.25,122.18,1,1,2,2005,5171.44,21,Moyen,Moyen,2023,3,1
ANO001248,2023-03-19,Beau Appartement Fès,Fès,Medina,Appartement,Vente,2208511.96,93.04,3,2,2,2002,23737.23,24,Haut standing,Moyen,2023,3,1
ANO000727,2023-03-19,Appartement 85m² Agadir,Agadir,Talborjt,Appartement,Location,11237.77,85.17,3,2,9,2008,131.95,18,Haut standing,Moyen,2023,3,1
ANO000199,2023-03-19,Beau Terrain Casablanca,Casablanca,Maarif,Terrain,Vente,1111261.98,238.8,0,0,0,1995,4653.53,31,Moyen,Grand,2023,3,1
ANO001172,2023-03-19,Beau Appartement Tanger,Tanger,Centre Ville,Appartement,Vente,340283.62,95.87,1,1,1,2013,3549.43,13,Économique,Moyen,2023,3,1
ANO001273,2023-03-19,Appartement moderne Rabat,Rabat,Hay Riad,Appartement,Vente,504061.94,81.91,1,1,2,1994,6153.85,32,Moyen,Moyen,2023,3,1
ANO000656,2023-03-19,Beau Bureau Casablanca,Casablanca,Hay Mohammadi,Bureau,Vente,1235832.27,112.11,0,0,7,2003,11023.39,23,Moyen,Moyen,2023,3,1
ANO001088,2023-03-20,Beau Appartement Tétouan,Tétouan,Centre,Appartement,Location,2222.08,62.38,2,1,2,2019,35.62,7,Économique,Petit,2023,3,1
ANO001137,2023-03-20,Villa moderne Agadir,Agadir,Talborjt,Villa,Location,22665.15,413.75,5,2,0,2004,54.78,22,Luxe,Grand,2023,3,1
ANO000574,2023-03-22,Appartement 97m² Zouagha,Fès,Zouagha,Appartement,Vente,1825805.45,97.83,3,2,8,2001,18663.04,25,Haut standing,Moyen,2023,3,1
ANO000923,2023-03-22,Villa 286m² Zouagha,Fès,Zouagha,Villa,Vente,2183193.72,286.38,6,4,0,1992,7623.42,34,Haut standing,Grand,2023,3,1
ANO000705,2023-03-23,Appartement à vente - Kenitra,Kénitra,Hay Essalam,Appartement,Vente,554910.3,59.95,2,1,1,2015,9256.22,11,Moyen,Petit,2023,3,1
ANO001471,2023-03-23,Beau Terrain Casablanca,Casablanca,Californie,Terrain,Vente,599496.44,292.67,0,0,0,1984,2048.37,42,Moyen,Grand,2023,3,1
ANO000044,2023-03-24,Duplex 72m² Fès,Fès,Medina,Duplex,Vente,1497914.61,72.47,3,1,4,2001,20669.44,25,Moyen,Petit,2023,3,1
ANO001254,2023-03-24,Appartement moderne Tétouan,Tétouan,M'diq,Appartement,Vente,547326.52,93.05,2,1,3,2009,5882.07,17,Moyen,Moyen,2023,3,1
ANO001399,2023-03-25,Villa à vente - Casablanca,Casablanca,Bourgogne,Villa,Vente,2419605.19,210.33,3,1,0,2016,11503.85,10,Haut standing,Grand,2023,3,1
ANO000481,2023-03-26,Bureau 166m² Marrakech,Marrakech,Medina,Bureau,Vente,1465152.51,166.94,0,0,4,2009,8776.52,17,Moyen,Grand,2023,3,1
ANO001186,2023-03-26,Villa moderne Fès,Fès,Medina,Villa,Vente,2183859.69,301.24,4,2,0,2001,7249.57,25,Haut standing,Grand,2023,3,1
ANO001323,2023-03-26,Beau Villa Tétouan,Tétouan,Centre,Villa,Vente,2355555.0,98.83,5,2,0,2024,23834.41,2,Haut standing,Moyen,2023,3,1
ANO000765,2023-03-27,Terrain moderne Tétouan,Tétouan,M'diq,Terrain,Vente,825595.44,203.01,0,0,0,2010,4066.77,16,Moyen,Grand,2023,3,1
ANO000306,2023-03-27,Villa moderne Kenitra,Kénitra,Centre,Villa,Vente,2339510.76,298.63,5,3,0,2011,7834.15,15,Haut standing,Grand,2023,3,1
ANO001345,2023-03-28,Appartement à vente - Oujda,Oujda,Hay Qods,Appartement,Vente,411861.55,15.0,2,1,6,2003,27457.44,23,Économique,Petit,2023,3,1
ANO000573,2023-03-28,Villa à vente - Kenitra,Kénitra,Centre,Villa,Vente,2365990.17,265.24,4,3,0,2015,8920.19,11,Haut standing,Grand,2023,3,1
ANO000124,2023-03-28,Appartement 85m² Hivernage,Marrakech,Hivernage,Appartement,Vente,457238.83,85.61,1,1,2,2013,5340.95,13,Économique,Moyen,2023,3,1
ANO000262,2023-03-30,Appartement à location - Oujda,Oujda,Hay Qods,Appartement,Location,2493.08,98.99,3,1,2,2018,25.19,8,Économique,Moyen,2023,3,1
ANO001292,2023-03-30,Appartement à location - Kenitra,Kénitra,Centre,Appartement,Location,5636.92,66.52,2,1,2,2019,84.74,7,Moyen,Petit,2023,3,1
ANO001007,2023-03-30,Beau Appartement Casablanca,Casablanca,Bourgogne,Appartement,Location,1983.44,98.79,1,1,3,2018,20.08,8,Économique,Moyen,2023,3,1
ANO000160,2023-03-31,Appartement 161m² Meknès,Meknès,Ville Nouvelle,Appartement,Vente,587350.02,161.97,3,2,0,2010,3626.29,16,Moyen,Grand,2023,3,1
ANO001301,2023-04-01,Bureau à vente - Tanger,Tanger,Iberia,Bureau,Vente,977552.5,114.8,0,0,3,2010,8515.27,16,Moyen,Moyen,2023,4,2
ANO001224,2023-04-01,Villa 332m² Californie,Casablanca,Californie,Villa,Location,9477.37,332.36,4,3,0,2013,28.52,13,Haut standing,Grand,2023,4,2
ANO000657,2023-04-04,Appartement 113m² Hassan,Rabat,Hassan,Appartement,Location,2106.44,113.34,3,2,3,2000,18.59,26,Économique,Moyen,2023,4,2
ANO000462,2023-04-05,Villa moderne Kenitra,Kénitra,Centre,Villa,Vente,1897142.54,309.37,6,2,0,2012,6132.28,14,Haut standing,Grand,2023,4,2
ANO001402,2023-04-06,Bureau 124m² Talborjt,Agadir,Talborjt,Bureau,Location,3248.41,124.42,0,0,3,2004,26.11,22,Moyen,Moyen,2023,4,2
ANO001204,2023-04-06,Appartement à vente - Tétouan,Tétouan,M'diq,Appartement,Vente,30000.0,85.85,2,2,4,2010,349.45,16,Économique,Moyen,2023,4,2
ANO000398,2023-04-08,Appartement moderne Meknès,Meknès,Hamria,Appartement,Location,1559.67,69.97,2,2,6,2012,22.29,14,Économique,Petit,2023,4,2
ANO000735,2023-04-08,Beau Bureau Agadir,Agadir,Centre,Bureau,Vente,1487903.18,68.27,0,0,4,2002,21794.39,24,Moyen,Petit,2023,4,2
ANO000953,2023-04-08,Beau Terrain Casablanca,Casablanca,Hay Mohammadi,Terrain,Vente,584624.33,272.34,0,0,0,2017,2146.67,9,Moyen,Grand,2023,4,2
ANO000893,2023-04-09,Terrain à vente - Tétouan,Tétouan,Centre,Terrain,Vente,904895.01,112.22,0,0,0,2010,8063.58,16,Moyen,Moyen,2023,4,2
ANO001278,2023-04-09,Appartement moderne Oujda,Oujda,Centre,Appartement,Vente,486604.35,110.9,2,2,0,1998,4387.78,28,Économique,Moyen,2023,4,2
